time,heatCapacitor_T,switch_Controll
2.92,28.59330384408935,1.0
2.94,28.576140227592475,1.0
2.96,28.55901711070925,1.0
2.98,28.541926849747256,1.0
3.0,28.524869444706496,1.0
3.02,28.507844895586913,1.0
3.04,28.49085320238862,1.0
3.06,28.473894365111562,1.0
3.07067,28.464860265504342,1.0
3.07067,28.464860265504342,1.0
3.08,28.539920457443145,0.0
3.1,28.715722801744334,0.0
3.12,28.891096026468404,0.0
3.14,29.06615004719947,0.0
3.16,29.240820730943028,0.0
3.18,29.414971996019347,0.0
3.2,29.588700708041074,0.0
3.22,29.762006867008267,0.0
3.24,29.934831887235475,0.0
3.26,30.107196243295675,0.0
3.28,30.27910682825984,0.0
3.3,30.450555714946972,0.0
3.32,30.621535204808822,0.0
3.34,30.79205513365787,0.0
3.36,30.962115501494054,0.0
3.38,31.131716308317436,0.0
3.4,31.300857554128015,0.0
3.42,31.469543284080203,0.0
3.44,31.63781684319224,0.0
3.46,31.805637918319974,0.0
3.48,31.97300650946329,0.0
3.5,32.1399226166223,0.0
3.52,32.30638623979689,0.0
3.52526,32.35009102211552,0.0
3.52526,32.35009102211552,0.0
3.54,32.343836653944834,1.0
3.56,32.31928305239933,1.0
3.58,32.29479982534997,1.0
3.6,32.270349094628614,1.0
3.62,32.24593086023526,1.0
3.64,32.22154512216986,1.0
3.66,32.19719188043251,1.0
3.68,32.172871135023115,1.0
3.7,32.148582885941664,1.0
3.72,32.124327133188274,1.0
3.74,32.100125301879416,1.0
3.76,32.07599206836795,1.0
3.78,32.051901631719545,1.0
3.8,32.027853991934194,1.0
3.82,32.0038491490119,1.0
3.84,31.979887102952603,1.0
3.86,31.955967853756363,1.0
3.88,31.93209140142318,1.0
3.89704,31.911782428705976,1.0
3.89704,31.911782428705976,1.0
3.9,31.92324562044587,0.0
3.92,32.090040581652374,0.0
3.94,32.25650387600024,0.0
3.96,32.42252467451715,0.0
3.98,32.58813906172446,0.0
4.0,32.75328580782627,0.0
4.02,32.91800153604589,0.0
4.04,33.082286246383376,0.0
4.06,33.24612892752714,0.0
4.08,33.40952707997849,0.0
4.1,33.57248840210508,0.0
4.12,33.735012893906855,0.0
4.14,33.897100555383815,0.0
4.16,34.05875138653602,0.0
4.18,34.2199748616498,0.0
4.2,34.3808005926669,0.0
4.22,34.54119604225593,0.0
4.24,34.70116121041684,0.0
4.26,34.86069609714974,0.0
4.28,35.019800702454575,0.0
4.3,35.178475026331284,0.0
4.32,35.33671906877993,0.0
4.34,35.494532829800505,0.0
4.36,35.651916309393016,0.0
4.38,35.80886950755746,0.0
4.4,35.96539242429384,0.0
4.40774,36.02585131220485,0.0
4.40774,36.02585131220485,0.0
4.42,36.02281236844675,1.0
4.44,35.99091813481999,1.0
4.46,35.95911453117577,1.0
4.48,35.92735317068309,1.0
4.5,35.89563405334195,1.0
4.52,35.86395717915235,1.0
4.54,35.83232254811435,1.0
4.56,35.800730160227886,1.0
4.58,35.769180015492964,1.0
4.6,35.737704451487105,1.0
4.62,35.706307919222866,1.0
4.64,35.67496710512154,1.0
4.66,35.643682009183124,1.0
4.68,35.61245263140751,1.0
4.7,35.581278971794745,1.0
4.72,35.550161030344896,1.0
4.74,35.5190988070579,1.0
4.75603,35.49424579079857,1.0
4.75603,35.49424579079857,1.0
4.76,35.50771777774003,0.0
4.78,35.66477385449042,0.0
4.8,35.82150129669674,0.0
4.82,35.97789624758332,0.0
4.84,36.133864939888724,0.0
4.86,36.289459848894694,0.0
4.88,36.44461830348678,0.0
4.9,36.599370286219255,0.0
4.92,36.75372042628527,0.0
4.94,36.90766872368488,0.0
4.96,37.06119684229424,0.0
4.98,37.21431726485088,0.0
5.0,37.36703086744848,0.0
5.02,37.51933765008704,0.0
5.04,37.67123761276662,0.0
5.06,37.82273075548716,0.0
5.08,37.97382320850562,0.0
5.1,38.124555896058496,0.0
5.12,38.27488850095034,0.0
5.14,38.42482102318121,0.0
5.16,38.57435346275105,0.0
5.18,38.72348581965991,0.0
5.2,38.87221809390775,0.0
5.22,39.020550285494664,0.0
5.24,39.168482394420494,0.0
5.26,39.316014420685406,0.0
5.28,39.46314636428929,0.0
5.3,39.60987822523214,0.0
5.32,39.75621000351401,0.0
5.34,39.902141699134916,0.0
5.34219,39.91809691673416,0.0
5.34219,39.91809691673416,0.0
5.36,39.905683636900164,1.0
5.38,39.86609894444939,1.0
5.4,39.82667317654631,1.0
5.42,39.78729965886322,1.0
5.44,39.74797839140007,1.0
5.46,39.708709374156854,1.0
5.48,39.66949260713352,1.0
5.5,39.63032809033024,1.0
5.52,39.591215823746836,1.0
5.54,39.55215580738337,1.0
5.56,39.5131480412399,1.0
5.58,39.47419252531631,1.0
5.6,39.43531375387687,1.0
5.62,39.39656825083472,1.0
5.64,39.35789137423217,1.0
5.66,39.319283124069216,1.0
5.6686,39.30270267569807,1.0
5.6686,39.30270267569807,1.0
5.68,39.36082726653126,0.0
5.7,39.5074555422886,0.0
5.72,39.65367263966061,0.0
5.74,39.799629266850786,0.0
5.76,39.94532542385906,0.0
5.78,40.09061697938051,0.0
5.8,40.23552244540889,0.0
5.82,40.38008331846049,0.0
